first,middle,last,phone,position,City,Street,Postal,Computername,
Merlin,A,Robert,04 77 42 76 97,Customer Service Manager,Calgary,1301 16th Ave NW,T2M OL4,RobertPC,
Lowell,D,Therriault,04 77 60 19 70,Customer Service,Calgary,1301 16th Ave NW,T2M OL4,TherriaultPC,
Trinette,G,Mousseau,04 78 33 66 21,Customer Service,Calgary,1301 16th Ave NW,T2M OL4,MousseauPC,
Vedette,B,Duplessis,04 77 44 66 52,Sales,Calgary,1301 16th Ave NW,T2M OL4,DuplessisPC,
Arber,C,Beaudry,04 85 30 00 10,sales manager,Calgary,1301 16th Ave NW,T2M OL4,BeaudryPC,
Louise,R,Roux,04 72 43 07 45,Sales,Calgary,1301 16th Ave NW,T2M OL4,RouxPC,
Pascal,F,Joly,04 76 11 74 96,Accountant,Calgary,1301 16th Ave NW,T2M OL4,JolyPC,
Albertine,M,Breton,04 77 42 44 18,Executive,Calgary,1301 16th Ave NW,T2M OL4,BretonPC,
Guerin,E,Robertson,04 78 12 87 80,Executive,Calgary,1301 16th Ave NW,T2M OL4,RobertsonPC,
Faustin,M,Martineau,04 77 44 08 72,Accountant,Calgary,1301 16th Ave NW,T2M OL4,MartineauPC,
Amber,W,Demers,04 77 66 03 69,Accountant,Calgary,1301 16th Ave NW,T2M OL4,DemersPC,
Mallory,O,Gousse,04 77 01 28 44,Accountant,Calgary,1301 16th Ave NW,T2M OL4,GoussePC,
Matilda,J,Leclerc,04 77 13 76 98,Accounting Manager,Calgary,1301 16th Ave NW,T2M OL4,LeclercPC,
Orane,V,Desnoyers,04 77 15 44 98,Sales,Calgary,1301 16th Ave NW,T2M OL4,DesnoyersPC,
Xavier,A,Johnson,04 72 42 31 70,sales,Calgary,1301 16th Ave NW,T2M OL4,JohnsonPC,
Joanna,C,Sicard,04 77 63 07 12,sales,Calgary,1301 16th Ave NW,T2M OL4,SicardPC,
Jean,Philip,Debien,04 74 49 88 91,IT manager,Calgary,1301 16th Ave NW,T2M OL4,DebienPC,
Kevin ,,Couderc,04 77 12 74 75,IT,Calgary,1301 16th Ave NW,T2M OL4,CoudercPC,
Guillaume,,Parent,04 78 89 99 99,IT,Calgary,1301 16th Ave NW,T2M OL4,ParentPC,
M,,eadmin,04 78 37 52 13,IT,Calgary,1301 16th Ave NW,T2M OL4,Remote,
